Unnamed: 0,YearlyCompensation,Gender,Location,JobTitle,CompanyName,Description,PayPeriod,SalaryMin,ListedTime,ApplicationType,ExperienceLevel,ListedTime.1,PostingDomain,CompensationType,ZipCode,CoursesCoursera,MLExperienceYears,DataScienceTeamSize,Industry
2353.0,7,0,1380,1365,1013,1316,4,70000.0,1712362023000.0,2,0,1712362023000.0,1059,0,36209.0,0,4,1,2
418.0,7,0,599,349,971,5847,2,30275.198000000004,1712892387000.0,1,4,1712892387000.0,461,0,48201.0,0,4,1,2
621.0,7,0,1605,534,2972,4747,4,96800.0,1713458415000.0,1,5,1713458415000.0,494,0,27560.0,0,4,1,6
5032.0,7,0,1171,3006,1803,9545,4,74626.16,1712636896000.0,1,5,1712636896000.0,1013,0,72401.0,0,4,1,2
11616.0,7,0,784,6397,3353,8940,4,123200.0,1712348396000.0,0,4,1712348396000.0,810,0,33900.0,0,4,1,2
9415.0,7,0,2018,4933,2318,5750,1,74707.65,1712666341000.0,0,0,1712666341000.0,1156,0,23219.0,0,4,1,6
9439.0,7,0,1076,4945,4094,4691,1,68003.4,1712362999000.0,1,5,1712362999000.0,790,0,77002.0,0,4,1,2
11141.0,7,0,213,6049,4189,3855,3,61222.6,1712635740000.0,1,5,1712635740000.0,789,0,83702.0,0,4,1,6
10031.0,23,1,1487,5326,2401,7014,1,50820.952000000005,1712374714000.0,1,2,1712374714000.0,830,0,32901.0,0,3,3,5
10070.0,7,0,1810,5343,1892,2400,1,42010.676,1712865527000.0,1,2,1712865527000.0,966,0,54460.0,0,4,1,2
4496.0,23,1,1688,2656,3249,4604,2,39249.188,1712370627000.0,1,2,1712370627000.0,943,0,7102.0,0,3,3,5
9963.0,7,0,973,5296,1347,4768,1,57010.0,1713279142000.0,1,2,1713279142000.0,233,0,7601.0,0,4,1,2
6646.0,7,0,213,3938,565,2762,1,20.0,1713393648000.0,0,3,1713393648000.0,767,0,83702.0,0,4,1,6
1318.0,7,0,2430,908,3947,1208,2,90862.2,1712653944000.0,1,5,1712653944000.0,1057,0,17181.6,0,4,1,2
8835.0,7,0,380,4626,2398,142,3,121237.0,1712666381000.0,1,2,1712666381000.0,1162,0,27514.0,0,4,1,2
8849.0,7,0,326,4628,2398,249,4,60000.0,1712402198000.0,1,3,1712402198000.0,1162,0,28715.0,0,4,1,2
3766.0,7,0,1341,2297,2083,7580,2,24439.35,1713279888000.0,0,5,1713279888000.0,372,0,95648.0,0,4,1,2
1052.0,23,1,246,789,2406,5832,2,52143.458,1712639230000.0,0,1,1712639230000.0,1154,0,37027.0,0,3,3,5
9918.0,7,0,130,5266,872,8437,2,35347.0,1712886568000.0,1,2,1712886568000.0,668,0,49014.0,0,4,1,2
6997.0,3,1,26,4151,3260,4586,2,75004.4,1712774813800.0,1,4,1712774813800.0,692,0,49629.8,0,3,3,5
