industry_id,industry_name
1,Defense and Space Manufacturing
3,Computer Hardware Manufacturing
4,Software Development
5,Computer Networking Products
6,"Technology, Information and Internet"
7,Semiconductor Manufacturing
8,Telecommunications
9,Law Practice
10,Legal Services
11,Business Consulting and Services
12,Biotechnology Research
13,Medical Practices
14,Hospitals and Health Care
15,Pharmaceutical Manufacturing
16,Veterinary Services
17,Medical Equipment Manufacturing
18,Personal Care Product Manufacturing
19,Retail Apparel and Fashion
20,Sporting Goods Manufacturing
21,Tobacco Manufacturing
