Year,Demographics.Total,Education.Major,Salaries.Highest,Salaries.Lowest,Salaries.Mean,Salaries.Median,Salaries.Quantity,Salaries.Standard Deviation,Demographics.Ethnicity.Asians,Demographics.Ethnicity.Minorities,Demographics.Ethnicity.Whites,Demographics.Gender.Females,Demographics.Gender.Males,Education.Degrees.Bachelors,Education.Degrees.Doctorates,Education.Degrees.Masters,Education.Degrees.Professionals,Employment.Employer Type.Business/Industry,Employment.Employer Type.Educational Institution,Employment.Employer Type.Government,Employment.Reason Working Outside Field.Career Change,Employment.Reason Working Outside Field.Family-related,Employment.Reason Working Outside Field.Job Location,Employment.Reason Working Outside Field.No Job Available,Employment.Reason Working Outside Field.Other,Employment.Reason Working Outside Field.Pay/Promotion,Employment.Reason Working Outside Field.Working Conditions,Employment.Reason for Not Working.Family,Employment.Reason for Not Working.Layoff,Employment.Reason for Not Working.No Job Available,Employment.Reason for Not Working.No need/want,Employment.Reason for Not Working.Student,Employment.Status.Employed,Employment.Status.Not in Labor Force,Employment.Status.Unemployed,Employment.Work Activity.Accounting/Finance/Contracts,Employment.Work Activity.Applied Research,Employment.Work Activity.Basic Research,Employment.Work Activity.Computer Applications,Employment.Work Activity.Design,Employment.Work Activity.Development,Employment.Work Activity.Human Resources,Employment.Work Activity.Managing/Supervising People/Projects,Employment.Work Activity.Other,Employment.Work Activity.Productions/Operations/Maintenance,Employment.Work Activity.Professional Service,Employment.Work Activity.Qualitity/Productivity Management,"Employment.Work Activity.Sales, Purchasing, Marketing",Employment.Work Activity.Teaching
1993,1295598,Biological Sciences,999999.0,0.0,160585.73,51000.0,13432,297818.25,84495,115016,1094775,551695,743903,671374,90543,248813,284869,669270,300468,121117,98112,65619,90842,76598,24821,111962,100886,45962,7457,14976,30989,51891,1090855,181940,22803,793888,341238,224277,297235,118772,191867,365049,539430,99749,103385,506252,269042,215169,381908
1993,211875,Chemical Engineering,999999.0,9000.0,126176.52,56000.0,3375,245705.77,27531,11278,173067,32205,179670,125883,17024,61809,7159,150692,10640,12879,11081,4968,6803,7164,3836,8649,6025,3275,1879,3168,4572,2154,174210,34018,3647,95346,65810,25328,67868,82344,76108,59299,102248,16361,30480,24690,63895,44780,17718
1993,507616,Chemistry,999999.0,8000.0,148872.0,60000.0,7834,276000.33,49984,35181,421911,135802,371814,243247,83078,101591,79700,279775,88760,38050,36072,18553,22098,19280,12778,31284,24843,9326,5705,7902,13743,9453,406585,89594,11437,240410,170327,95221,126471,81772,123256,121783,208278,35007,40898,129716,114801,78059,104191
1993,336366,Civil Engineering,999999.0,10000.0,129070.55,50000.0,4035,259543.49,37295,17421,281442,21022,315344,235237,9884,87754,3490,186818,13541,87878,12002,5402,8462,6616,5802,11440,9580,1684,3728,5578,3997,2477,288237,39966,8163,197407,68530,34892,123613,133430,62031,108338,203035,37940,28639,70727,116758,73133,26892
1993,1070111,Computer Science and Math,999999.0,0.0,134299.53,49000.0,9996,269323.82,83826,98047,887476,386111,684000,746586,46308,258567,18650,665249,183217,89658,59302,34499,56946,50406,24238,64066,56745,33796,13946,16227,23997,10210,938124,103062,28925,484716,239183,131348,640201,251941,200490,287405,439446,62482,73411,126083,223467,168404,234507
1993,641634,Economics,999999.0,9000.0,158542.76,50000.0,3452,299207.48,43953,41702,555979,151565,490069,412615,22913,145042,61064,422697,56077,57749,52177,25942,51893,45807,19579,74864,58038,16419,7530,10037,15836,11314,536524,86747,18363,430505,92954,54589,201170,68668,88026,201728,342184,55478,57376,189591,153399,223988,96751
1993,653614,Electrical Engineering,999999.0,9000.0,113262.51,57000.0,7259,222253.95,78979,40355,534220,34011,619603,443589,25943,174313,9770,453135,34482,59785,27388,7803,20683,23027,10845,26273,17308,4319,14216,12177,8996,7780,547402,80715,25498,250688,192876,83044,339093,293734,224893,157421,288180,41852,72659,49979,153003,129887,58441
1993,257809,Management & Administration,999999.0,9000.0,124761.62,48000.0,2073,257410.75,15960,21024,220119,59003,198806,170226,6470,78931,2182,192643,22482,31931,24576,6227,14641,15730,8782,28486,17362,422,1541,1586,1026,641,247056,8090,2663,156228,58694,33595,179966,79519,62935,78572,147849,22882,28553,35589,79943,59941,49422
1993,512533,Mechanical Engineering,999999.0,10000.0,119635.9,52000.0,5711,240591.47,48879,22032,441398,23639,488894,370138,16239,120064,6092,358414,22590,43395,22820,8388,16925,16940,9200,25289,17187,1530,8132,7634,8757,3323,424399,73449,14685,221197,132046,57461,188258,242114,179334,130876,250523,37252,68865,40014,142961,106925,38751
1993,704259,Other Engineering,999999.0,6000.0,145709.93,50000.0,8525,285418.12,52986,37638,612910,62328,641931,484588,24678,182727,12266,466031,41019,74817,38925,20721,30455,30922,16713,39453,34234,7324,15660,11913,12590,7189,581866,98144,24249,346864,179071,79689,278210,249013,193879,192395,364440,62153,102049,94397,211565,168140,85994
